code,stint,compound ,raceid 
STR,2,C3,1046
SAI,2,C3,1046
RIC,2,C3,1046
ALB,2,C2,1046
KVY,2,C3,1046
BOT,2,C2,1046
RUS,2,C2,1046
NOR,2,C3,1046
GAS,2,C3,1046
VET,2,C2,1046
GIO,2,C2,1046
RAI,2,C2,1046
MAG,2,C3,1046
AIT,2,C2,1046
FIT,2,C3,1046
LAT,2,C3,1046
PER,3,C2,1046
SAI,3,C3,1046
RIC,3,C2,1046
ALB,3,C4,1046
KVY,3,C2,1046
BOT,3,C2,1046
RUS,3,C3,1046
NOR,3,C3,1046
GAS,3,C2,1046
VET,3,C4,1046
GIO,3,C3,1046
RAI,3,C3,1046
MAG,3,C4,1046
AIT,3,C3,1046
FIT,3,C4,1046
RUS,4,C3,1046
VET,4,C4,1046
RAI,4,C4,1046
AIT,4,C4,1046
FIT,4,C4,1046
RUS,5,C4,1046
VER,1,C4,1047
BOT,1,C4,1047
HAM,1,C4,1047
ALB,1,C5,1047
NOR,1,C5,1047
SAI,1,C4,1047
RIC,1,C3,1047
GAS,1,C5,1047
OCO,1,C4,1047
STR,1,C5,1047
KVY,1,C5,1047
RAI,1,C4,1047
LEC,1,C4,1047
VET,1,C3,1047
RUS,1,C4,1047
GIO,1,C4,1047
LAT,1,C4,1047
MAG,1,C3,1047
FIT,1,C4,1047
PER,1,C3,1047
VER,2,C3,1047
BOT,2,C3,1047
HAM,2,C3,1047
ALB,2,C3,1047
NOR,2,C3,1047
SAI,2,C3,1047
RIC,2,C4,1047
GAS,2,C3,1047
OCO,2,C3,1047
STR,2,C3,1047
KVY,2,C3,1047
RAI,2,C3,1047
LEC,2,C3,1047
VET,2,C4,1047
RUS,2,C3,1047
GIO,2,C3,1047
LAT,2,C3,1047
MAG,2,C4,1047
FIT,2,C3,1047
LAT,3,C4,1047
MAG,3,C4,1047
FIT,3,C4,1047
FIT,4,C5,1047
