code,constructorRef,circuit,gp,raceid,position,tm,ms,seconds,lap,stop,duration,box_time,box_seconds,accumulated,stint,compound,distance,stint_lap,stint_distance
ALB,red_bull,Autódromo Internacional do Algarve,Portuguese Grand Prix,1042,12,1:31.533,91533,91,2,,,,,100073,1,C3,9.306,2,9.306
ALB,red_bull,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,1043,7,1:22.182,82182,82,2,,,,,87853,1,C4,9.818,2,9.818
ALB,red_bull,Istanbul Park,Turkish Grand Prix,1044,5,1:58.566,118566,118,2,,,,,131074,1,WET,10.676,2,10.676
ALB,red_bull,Yas Marina Circuit,Abu Dhabi Grand Prix,1047,5,1:44.151,104151,104,2,,,,,108734,1,C5,11.108,2,11.108
ALB,red_bull,Bahrain International Circuit,Sakhir Grand Prix,1046,12,1:30.929,90929,90,3,,,,,185154,1,C3,10.629,3,10.629
ALB,red_bull,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.579,69579,69,3,,,,,145466,1,C4,12.954,3,12.954
ALB,red_bull,Red Bull Ring,Styrian Grand Prix,1032,5,1:45.619,105619,105,3,,,,,207993,1,C4,12.954,3,12.954
ALB,red_bull,Hungaroring,Hungarian Grand Prix,1033,9,1:38.884,98884,98,3,1,23.046,23046,23,203753,1,INTER,13.143,3,13.143
ALB,red_bull,Silverstone Circuit,British Grand Prix,1034,12,2:30.069,150069,150,3,,,,,235711,1,C2,17.673,3,17.673
ALB,red_bull,Silverstone Circuit,70th Anniversary Grand Prix,1035,9,1:33.802,93802,93,3,,,,,194002,1,C3,17.673,3,17.673
ALB,red_bull,Circuit de Barcelona-Catalunya,Spanish Grand Prix,1036,6,1:25.241,85241,85,3,,,,,176607,1,C3,13.965,3,13.965
ALB,red_bull,Circuit de Spa-Francorchamps,Belgian Grand Prix,1037,6,1:51.516,111516,111,3,,,,,229293,1,C4,21.012,3,21.012
ALB,red_bull,Autodromo Nazionale di Monza,Italian Grand Prix,1038,15,1:26.964,86964,86,3,,,,,183246,1,C4,17.379,3,17.379
ALB,red_bull,Autodromo Internazionale del Mugello,Tuscan Grand Prix,1039,4,2:16.967,136967,136,3,,,,,258684,1,C4,15.735,3,15.735
ALB,red_bull,Sochi Autodrom,Russian Grand Prix,1040,17,2:52.267,172267,172,3,,,,,495478,2,C3,17.544,2,11.696
ALB,red_bull,Nürburgring,Eifel Grand Prix,1041,6,1:34.299,94299,94,3,,,,,194116,1,C4,15.444,3,15.444
