DriverNumber,LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,faster_than_last,faster_than_avg,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_l,new_fastest_l_sum,faster_avg_sum,faster_last_sum,laptime
33,11,1,0,0,12.0,0.0319999999999965,0,1,107.650888888889,107.107,1,0,3,9,6,107.327
44,3,1,0,0,7.0,-1.176,1,1,109.236,109.236,1,1,1,1,1,108.06
44,4,1,0,0,8.0,-0.597999999999999,1,1,108.648,108.06,1,1,2,2,2,107.462
44,5,1,0,0,9.0,0.179999999999993,0,1,108.252666666667,107.462,1,0,2,3,2,107.642
44,6,1,0,0,10.0,-0.24799999999999,1,1,108.1,107.462,1,1,3,4,3,107.394
44,7,1,0,0,11.0,-0.338000000000008,1,1,107.9588,107.394,1,1,4,5,4,107.056
44,8,1,0,0,12.0,0.0280000000000058,0,1,107.808333333333,107.056,1,0,4,6,4,107.084
44,9,1,0,0,13.0,0.314999999999998,0,1,107.704857142857,107.056,1,0,4,7,4,107.399
44,10,1,0,0,14.0,0.0420000000000016,0,1,107.666625,107.056,1,0,4,8,4,107.441
44,11,1,0,0,15.0,3.777,0,0,107.641555555556,107.056,0,0,4,8,4,111.218
47,3,1,0,0,3.0,-1.90300000000001,1,1,112.393,112.393,1,1,1,1,1,110.49
47,4,1,0,0,4.0,0.097999999999999,0,1,111.4415,110.49,1,0,1,2,1,110.588
47,5,1,0,0,5.0,-0.484999999999999,1,1,111.157,110.49,1,1,2,3,2,110.103
47,6,1,0,0,6.0,-0.396000000000001,1,1,110.8935,110.103,1,1,3,4,3,109.707
47,7,1,0,0,7.0,0.117000000000004,0,1,110.6562,109.707,1,0,3,5,3,109.824
47,8,1,0,0,8.0,3.762,0,0,110.5175,109.707,0,0,3,5,3,113.586
47,9,0,0,1,1.0,15.029,0,0,110.955857142857,109.707,0,0,3,5,3,128.615
47,10,0,0,1,2.0,-20.7,1,1,113.16325,109.707,1,1,4,6,4,107.915
47,11,0,0,1,3.0,1.70099999999999,0,1,112.580111111111,107.915,1,0,4,7,4,109.616
55,3,1,0,0,6.0,-0.242000000000004,1,1,109.542,109.542,1,1,1,1,1,109.3
55,4,1,0,0,7.0,-0.736999999999995,1,1,109.421,109.3,1,1,2,2,2,108.563
55,5,1,0,0,8.0,-0.766999999999996,1,1,109.135,108.563,1,1,3,3,3,107.796
55,6,1,0,0,9.0,0.097999999999999,0,1,108.80025,107.796,1,0,3,4,3,107.894
55,7,1,0,0,10.0,0.189999999999998,0,1,108.619,107.796,1,0,3,5,3,108.084
55,8,1,0,0,11.0,-0.322000000000003,1,1,108.529833333333,107.796,1,1,4,6,4,107.762
55,9,1,0,0,12.0,-0.466999999999999,1,1,108.420142857143,107.762,1,1,5,7,5,107.295
55,10,1,0,0,13.0,4.247,0,0,108.2795,107.295,0,0,5,7,5,111.542
55,11,0,0,1,1.0,32.468,0,0,108.642,107.295,0,0,5,7,5,144.01
77,3,1,0,0,7.0,-1.10300000000001,1,1,110.418,110.418,1,1,1,1,1,109.315
77,4,1,0,0,8.0,-0.106999999999999,1,1,109.8665,109.315,1,1,2,2,2,109.208
