LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_lap,laptime
4,1,0,0,7,-0.802,108.912,108.644,1,1,107.842
5,1,0,0,8,-0.685,108.5553333,107.842,1,1,107.157
6,1,0,0,9,0.356,108.20575,107.157,1,0,107.513
7,1,0,0,10,-0.467,108.0672,107.157,1,1,107.046
8,1,0,0,11,0.227,107.897,107.046,1,0,107.273
9,1,0,0,12,0.142,107.8078571,107.046,1,0,107.415
10,1,0,0,13,-0.534,107.75875,107.046,1,1,106.881
11,1,0,0,14,0.616,107.6612222,106.881,1,0,107.497
12,1,0,0,15,-0.697,107.6448,106.881,1,1,106.8
13,1,0,0,16,3.16,107.568,106.8,0,0,109.96
14,0,0,1,1,14.419,107.7673333,106.8,0,0,124.379
15,0,0,1,2,-18.511,109.0451538,106.8,1,1,105.868
16,0,0,1,3,0.473,108.8182143,105.868,1,0,106.341
17,0,0,1,4,-0.219,108.6530667,105.868,1,0,106.122
18,0,0,1,5,-0.059,108.494875,105.868,1,0,106.063
19,0,0,1,6,-0.265,108.3518235,105.868,1,1,105.798
20,0,0,1,7,0.039,108.2099444,105.798,1,0,105.837
21,0,0,1,8,-0.115,108.0850526,105.798,1,1,105.722
22,0,0,1,9,0.176,107.9669,105.722,1,0,105.898
23,0,0,1,10,-0.282,107.868381,105.722,1,1,105.616
24,0,0,1,11,-0.025,107.766,105.616,1,1,105.591
25,0,0,1,12,0.014,107.6714348,105.591,1,0,105.605
26,0,0,1,13,1.368,107.5853333,105.591,1,0,106.973
27,0,0,1,14,-0.978,107.56084,105.591,1,0,105.995
28,0,0,1,15,-0.135,107.5006154,105.591,1,0,105.86
29,0,0,1,16,-0.05,107.4398519,105.591,1,0,105.81
30,0,0,1,17,0.213,107.3816429,105.591,1,0,106.023
31,0,0,1,18,29.544,107.3347931,105.591,0,0,135.567
36,0,0,1,23,-26.329,108.2758667,105.591,0,0,109.238
37,0,0,1,24,-2.722,108.3069032,105.591,1,0,106.516
38,0,0,1,25,-0.627,108.2509375,105.591,1,0,105.889
39,0,0,1,26,-0.484,108.1793636,105.591,1,1,105.405
40,0,0,1,27,-0.209,108.0977647,105.405,1,1,105.196
41,0,0,1,28,-0.246,108.0148571,105.196,1,1,104.95
42,0,0,1,29,0.101,107.9297222,104.95,1,0,105.051
43,0,0,1,30,-0.257,107.8519189,104.95,1,1,104.794
44,0,0,1,31,0.079,107.7714474,104.794,1,0,104.873
45,0,0,1,32,-0.186,107.6971282,104.794,1,1,104.687
46,0,0,1,33,0.048,107.621875,104.687,1,0,104.735
47,0,0,1,34,31.43,107.5514634,104.687,0,0,136.165
51,1,0,0,5,-31.462,108.2327381,104.687,1,0,104.703
3,1,0,0,6,-1.302,110.062,110.062,1,1,108.76
4,1,0,0,7,-0.098,109.411,108.76,1,1,108.662
5,1,0,0,8,-0.214,109.1613333,108.662,1,1,108.448
6,1,0,0,9,0.484,108.983,108.448,1,0,108.932
7,1,0,0,10,5.583,108.9728,108.448,0,0,114.515
8,0,0,1,1,10.993,109.8965,108.448,0,0,125.508
9,0,0,1,2,-17.462,112.1267143,108.448,1,1,108.046
10,0,0,1,3,1.39,111.616625,108.046,1,0,109.436
11,0,0,1,4,-0.133,111.3743333,108.046,1,0,109.303
12,0,0,1,5,-1.161,111.1672,108.046,1,0,108.142
13,0,0,1,6,0.091,110.8921818,108.046,1,0,108.233
14,0,0,1,7,0.129,110.6705833,108.046,1,0,108.362
15,0,0,1,8,-0.261,110.493,108.046,1,0,108.101
16,0,0,1,9,0.844,110.3221429,108.046,1,0,108.945
17,0,0,1,10,-0.525,110.2303333,108.046,1,0,108.42
18,0,0,1,11,-0.289,110.1171875,108.046,1,0,108.131
19,0,0,1,12,0.119,110.0003529,108.046,1,0,108.25
20,0,0,1,13,-0.415,109.9031111,108.046,1,1,107.835
21,0,0,1,14,0.092,109.7942632,107.835,1,0,107.927
22,0,0,1,15,-0.258,109.7009,107.835,1,1,107.669
23,0,0,1,16,-0.141,109.6041429,107.669,1,1,107.528
24,0,0,1,17,-0.303,109.5097727,107.528,1,1,107.225
25,0,0,1,18,0.119,109.4104348,107.225,1,0,107.344
26,0,0,1,19,0.269,109.3243333,107.225,1,0,107.613
27,0,0,1,20,1.36,109.25588,107.225,1,0,108.973
28,0,0,1,21,-1.738,109.245,107.225,1,0,107.235
29,0,0,1,22,-0.033,109.1705556,107.225,1,1,107.202
30,0,0,1,23,9.733,109.10025,107.202,0,0,116.935
31,0,0,1,24,30.315,109.3704138,107.202,0,0,147.25
32,0,0,1,25,-0.05,110.6330667,107.202,0,0,147.2
36,1,0,0,4,-33.11,111.8126452,107.202,0,0,114.09
37,1,0,0,5,-5.011,111.8838125,107.202,1,0,109.079
38,1,0,0,6,-2.083,111.7988182,107.202,1,1,106.996
39,1,0,0,7,-0.682,111.6575588,106.996,1,1,106.314
40,1,0,0,8,0.335,111.5048857,106.314,1,0,106.649
41,1,0,0,9,-0.305,111.37,106.314,1,0,106.344
42,1,0,0,10,-0.72,111.2341622,106.314,1,1,105.624
43,1,0,0,11,0.411,111.0865263,105.624,1,0,106.035
44,1,0,0,12,0.241,110.957,105.624,1,0,106.276
45,1,0,0,13,0.995,110.839975,105.624,1,0,107.271
