,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
441,0 days 00:31:03.049000,14,0 days 00:01:49.771000,10.0,2.0,,,0 days 00:00:39.078000,0 days 00:00:44.803000,0 days 00:00:25.890000,0 days 00:29:52.356000,0 days 00:30:37.159000,0 days 00:31:03.049000,189.0,195.0,330.0,320.0,SOFT,9.0,True,0 days 00:29:13.278000,McLaren,ALO,2,True,2018-04-29 12:35:13.355
442,0 days 00:32:54.099000,14,0 days 00:01:51.050000,11.0,2.0,,,0 days 00:00:39.277000,0 days 00:00:45.738000,0 days 00:00:26.035000,0 days 00:31:42.326000,0 days 00:32:28.064000,0 days 00:32:54.099000,179.0,179.0,322.0,315.0,SOFT,10.0,True,0 days 00:31:03.049000,McLaren,ALO,2,True,2018-04-29 12:37:03.126
443,0 days 00:34:44.649000,14,0 days 00:01:50.550000,12.0,2.0,,,0 days 00:00:39.208000,0 days 00:00:44.796000,0 days 00:00:26.546000,0 days 00:33:33.307000,0 days 00:34:18.103000,0 days 00:34:44.649000,184.0,199.0,304.0,304.0,SOFT,11.0,True,0 days 00:32:54.099000,McLaren,ALO,1,True,2018-04-29 12:38:54.176
444,0 days 00:36:35.094000,14,0 days 00:01:50.445000,13.0,2.0,,,0 days 00:00:39.143000,0 days 00:00:44.560000,0 days 00:00:26.742000,0 days 00:35:23.792000,0 days 00:36:08.352000,0 days 00:36:35.094000,191.0,209.0,306.0,303.0,SOFT,12.0,True,0 days 00:34:44.649000,McLaren,ALO,1,True,2018-04-29 12:40:44.726
445,0 days 00:38:24.370000,14,0 days 00:01:49.276000,14.0,2.0,,,0 days 00:00:38.763000,0 days 00:00:43.979000,0 days 00:00:26.534000,0 days 00:37:13.857000,0 days 00:37:57.836000,0 days 00:38:24.370000,192.0,195.0,307.0,303.0,SOFT,13.0,True,0 days 00:36:35.094000,McLaren,ALO,1,True,2018-04-29 12:42:35.171
446,0 days 00:40:14.634000,14,0 days 00:01:50.264000,15.0,2.0,,,0 days 00:00:39.160000,0 days 00:00:44.457000,0 days 00:00:26.647000,0 days 00:39:03.530000,0 days 00:39:47.987000,0 days 00:40:14.634000,194.0,208.0,306.0,303.0,SOFT,14.0,True,0 days 00:38:24.370000,McLaren,ALO,2,True,2018-04-29 12:44:24.447
447,0 days 00:42:04.443000,14,0 days 00:01:49.809000,16.0,2.0,,,0 days 00:00:39.225000,0 days 00:00:44.079000,0 days 00:00:26.505000,0 days 00:40:53.859000,0 days 00:41:37.938000,0 days 00:42:04.443000,,199.0,308.0,304.0,SOFT,15.0,True,0 days 00:40:14.634000,McLaren,ALO,1,True,2018-04-29 12:46:14.711
448,0 days 00:43:53.436000,14,0 days 00:01:48.993000,17.0,2.0,,,0 days 00:00:38.500000,0 days 00:00:44.094000,0 days 00:00:26.399000,0 days 00:42:42.943000,0 days 00:43:27.037000,0 days 00:43:53.436000,203.0,199.0,307.0,304.0,SOFT,16.0,True,0 days 00:42:04.443000,McLaren,ALO,1,True,2018-04-29 12:48:04.520
449,0 days 00:45:42.602000,14,0 days 00:01:49.166000,18.0,2.0,,,0 days 00:00:38.494000,0 days 00:00:44.160000,0 days 00:00:26.512000,0 days 00:44:31.930000,0 days 00:45:16.090000,0 days 00:45:42.602000,200.0,205.0,308.0,305.0,SOFT,17.0,True,0 days 00:43:53.436000,McLaren,ALO,2,True,2018-04-29 12:49:53.513
450,0 days 00:47:31.342000,14,0 days 00:01:48.740000,19.0,2.0,,,0 days 00:00:38.493000,0 days 00:00:43.729000,0 days 00:00:26.518000,0 days 00:46:21.095000,0 days 00:47:04.824000,0 days 00:47:31.342000,,204.0,306.0,303.0,SOFT,18.0,True,0 days 00:45:42.602000,McLaren,ALO,1,True,2018-04-29 12:51:42.679
451,0 days 00:49:20.706000,14,0 days 00:01:49.364000,20.0,2.0,,,0 days 00:00:38.624000,0 days 00:00:44.128000,0 days 00:00:26.612000,0 days 00:48:09.966000,0 days 00:48:54.094000,0 days 00:49:20.706000,192.0,209.0,307.0,303.0,SOFT,19.0,True,0 days 00:47:31.342000,McLaren,ALO,2,True,2018-04-29 12:53:31.419
