DriverNumber,Driver,LapNumber,TotalLaps,LapsRemain,LapTime,Seconds,FuelMultiplier,FB_y,FuelBurnConstant,Adj_FB,Adj_LapTime_FB,quali_delta,Stint,Compound_Label,Compound,TyreLife,TyreLife_perc,FreshTyre,LapStartTime,Team,TrackStatus,LapStartDate,ahead,gap_ahead,race,fq
3,RIC,17,53,36,01:42.0,102.037,1.476,0.62,0.041,99.941,100.561,8.559,2,C2,HARD,1,1.886792453,TRUE,0 days 01:00:50.902000,McLaren,1,30:50.9,30:48.7,2.207,france,91.382
63,RUS,67,72,5,01:19.7,79.711,0.205,0.62,0.041,78.886,79.506,8.554,2,C1,HARD,40,55.55555556,TRUE,0 days 02:27:17.019000,Williams,1,28:17.0,27:57.0,20.062,dutch,70.332
11,PER,57,66,9,01:27.2,87.212,0.369,0.62,0.041,86.223,86.843,8.554,2,C2,MEDIUM,30,45.45454545,TRUE,0 days 01:53:31.412000,Red Bull,1,23:31.4,23:17.9,13.504,spain,77.669
9,MAZ,21,56,35,01:47.4,107.405,1.435,0.62,0.041,105.35,105.97,8.554,2,C2,HARD,,0,TRUE,0 days 01:38:31.386000,Haas F1 Team,1,39:33.1,39:09.1,24.02,us,96.796
9,MAZ,43,56,13,01:46.5,106.483,0.533,0.62,0.041,105.33,105.95,8.534,4,C3,MEDIUM,7,12.5,FALSE,0 days 02:17:55.774000,Haas F1 Team,1,18:57.5,17:48.1,9.436,us,96.796
55,SAI,15,56,41,01:40.8,100.84,1.681,0.62,0.041,98.539,99.159,8.53,1,C4,SOFT,18,32.14285714,FALSE,0 days 01:02:25.340000,Ferrari,1,32:25.3,32:10.3,15.05,bahrain,90.009
47,MSC,2,53,51,01:44.2,104.178,2.091,0.62,0.041,101.467,102.087,8.525,1,C3,MEDIUM,2,3.773584906,TRUE,35:23.0,Haas F1 Team,1,05:23.0,05:22.3,0.695,france,92.942
6,LAT,68,72,4,01:19.4,79.387,0.164,0.62,0.041,78.603,79.223,8.51,4,C1,HARD,45,62.5,TRUE,0 days 02:29:18.357000,Williams,1,30:18.4,29:55.0,23.364,dutch,70.093
3,RIC,46,78,32,01:22.0,82.04,1.312,0.62,0.041,80.108,80.728,8.51,2,C3,HARD,10,12.82051282,TRUE,0 days 01:31:44.362000,McLaren,1,01:45.1,01:44.4,0.693,monaco,71.598
16,LEC,58,66,8,01:27.0,86.959,0.328,0.62,0.041,86.011,86.631,8.501,2,C2,MEDIUM,30,45.45454545,TRUE,0 days 01:54:41.726000,Ferrari,1,24:41.7,24:38.2,3.576,spain,77.51
5,VET,2,53,51,01:43.0,102.974,2.091,0.62,0.041,100.263,100.883,8.496,1,C2,HARD,2,3.773584906,TRUE,35:19.3,Aston Martin,1,05:19.4,05:18.9,0.449,france,91.767
16,LEC,32,53,21,01:41.0,100.96,0.861,0.62,0.041,99.479,100.099,8.492,2,C2,HARD,18,33.96226415,TRUE,0 days 01:25:59.975000,Ferrari,1,56:00.0,55:59.0,0.996,france,90.987
77,BOT,23,66,43,01:27.7,87.743,1.763,0.62,0.041,85.36,85.98,8.487,1,C3,SOFT,26,39.39393939,FALSE,0 days 01:05:53.697000,Mercedes,1,35:53.7,35:52.5,1.174,spain,76.873
31,OCO,64,66,2,01:26.8,86.766,0.082,0.62,0.041,86.064,86.684,8.484,2,C2,MEDIUM,41,62.12121212,TRUE,0 days 02:04:11.176000,Alpine F1 Team,1,34:11.2,34:04.4,6.75,spain,77.58
