code,circuit,gp,raceid,position,tm,ms,lap,box,accumulated
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.432,68432,50,,3683860
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:20.622,80622,51,2,3752292
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:49.417,109417,52,,3913536
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:53.584,113584,53,,4022953
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:37.290,97290,54,,4136537
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:39.511,99511,55,,4233827
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:54.081,114081,56,3,4333338
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:56.349,116349,57,,4561500
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:51.006,111006,58,,4677849
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:41.457,101457,59,,4788855
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:36.508,96508,60,,4890312
ALB,Red Bull Ring,Austrian Grand Prix,1031,13,1:16.768,76768,61,,4986820
ALB,Red Bull Ring,Austrian Grand Prix,1031,13,1:10.174,70174,62,,5063588
ALB,Red Bull Ring,Austrian Grand Prix,1031,13,1:09.610,69610,63,,5133762
ALB,Red Bull Ring,Austrian Grand Prix,1031,12,1:09.920,69920,64,,5203372
ALB,Red Bull Ring,Austrian Grand Prix,1031,12,1:10.521,70521,65,,5273292
ALB,Red Bull Ring,Austrian Grand Prix,1031,12,1:10.859,70859,66,,5343813
ALB,Red Bull Ring,Austrian Grand Prix,1031,11,1:10.182,70182,67,,5414672
ALB,Red Bull Ring,Styrian Grand Prix,1032,5,1:27.279,87279,1,,
ALB,Red Bull Ring,Styrian Grand Prix,1032,5,2:00.714,120714,2,,87279
ALB,Red Bull Ring,Styrian Grand Prix,1032,5,1:45.619,105619,3,,207993
ALB,Red Bull Ring,Styrian Grand Prix,1032,5,1:11.008,71008,4,,313612
ALB,Red Bull Ring,Styrian Grand Prix,1032,5,1:10.745,70745,5,,384620
ALB,Red Bull Ring,Styrian Grand Prix,1032,5,1:10.549,70549,6,,455365
ALB,Red Bull Ring,Styrian Grand Prix,1032,5,1:10.405,70405,7,,525914
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.748,69748,8,,596319
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.707,69707,9,,666067
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.800,69800,10,,735774
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.742,69742,11,,805574
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.632,69632,12,,875316
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.703,69703,13,,944948
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.771,69771,14,,1014651
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.979,69979,15,,1084422
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.589,69589,16,,1154401
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.640,69640,17,,1223990
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.590,69590,18,,1293630
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.786,69786,19,,1363220
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.355,69355,20,,1433006
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.819,69819,21,,1502361
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.634,69634,22,,1572180
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.495,69495,23,,1641814
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.446,69446,24,,1711309
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.595,69595,25,,1780755
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.441,69441,26,,1850350
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.360,69360,27,,1919791
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.205,69205,28,,1989151
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:09.045,69045,29,,2058356
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.948,68948,30,,2127401
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.973,68973,31,,2196349
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.964,68964,32,,2265322
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.746,68746,33,,2334286
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.893,68893,34,,2403032
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:12.843,72843,35,1,2471925
ALB,Red Bull Ring,Styrian Grand Prix,1032,7,1:27.167,87167,36,,2544768
ALB,Red Bull Ring,Styrian Grand Prix,1032,7,1:08.193,68193,37,,2631935
ALB,Red Bull Ring,Styrian Grand Prix,1032,6,1:08.269,68269,38,,2700128
ALB,Red Bull Ring,Styrian Grand Prix,1032,5,1:08.141,68141,39,,2768397
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.358,68358,40,,2836538
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.243,68243,41,,2904896
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.251,68251,42,,2973139
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.460,68460,43,,3041390
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.561,68561,44,,3109850
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.701,68701,45,,3178411
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.872,68872,46,,3247112
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.886,68886,47,,3315984
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.904,68904,48,,3384870
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.622,68622,49,,3453774
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.521,68521,50,,3522396
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.305,68305,51,,3590917
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.234,68234,52,,3659222
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.961,67961,53,,3727456
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.141,68141,54,,3795417
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.375,68375,55,,3863558
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.237,68237,56,,3931933
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.176,68176,57,,4000170
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.671,67671,58,,4068346
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.645,67645,59,,4136017
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.656,67656,60,,4203662
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.512,67512,61,,4271318
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.520,67520,62,,4338830
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.449,67449,63,,4406350
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.519,67519,64,,4473799
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.330,67330,65,,4541318
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.347,67347,66,,4608648
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.299,67299,67,,4675995
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.109,67109,68,,4743294
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.175,68175,69,,4810403
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:07.869,67869,70,,4878578
ALB,Red Bull Ring,Styrian Grand Prix,1032,4,1:08.636,68636,71,,4946447
ALB,Hungaroring,Hungarian Grand Prix,1033,11,1:47.561,107561,1,,
ALB,Hungaroring,Hungarian Grand Prix,1033,11,1:36.192,96192,2,,107561
ALB,Hungaroring,Hungarian Grand Prix,1033,9,1:38.884,98884,3,1,203753
ALB,Hungaroring,Hungarian Grand Prix,1033,14,1:51.950,111950,4,,401521
ALB,Hungaroring,Hungarian Grand Prix,1033,9,1:28.886,88886,5,,513471
ALB,Hungaroring,Hungarian Grand Prix,1033,9,1:25.890,85890,6,,602357
ALB,Hungaroring,Hungarian Grand Prix,1033,9,1:24.436,84436,7,,688247
ALB,Hungaroring,Hungarian Grand Prix,1033,9,1:25.139,85139,8,,772683
ALB,Hungaroring,Hungarian Grand Prix,1033,9,1:24.012,84012,9,,857822
ALB,Hungaroring,Hungarian Grand Prix,1033,9,1:23.342,83342,10,,941834
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:23.506,83506,11,,1025176
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:23.030,83030,12,,1108682
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:24.018,84018,13,,1191712
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:24.395,84395,14,,1275730
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:24.419,84419,15,,1360125
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:24.418,84418,16,,1444544
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:24.394,84394,17,,1528962
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:23.014,83014,18,,1613356
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:22.737,82737,19,,1696370
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:22.633,82633,20,,1779107
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:22.992,82992,21,,1861740
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:22.720,82720,22,,1944732
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:23.134,83134,23,,2027452
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:23.026,83026,24,,2110586
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:22.790,82790,25,,2193612
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:22.860,82860,26,,2276402
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:23.149,83149,27,,2359262
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:23.710,83710,28,,2442411
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:23.491,83491,29,,2526121
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:22.849,82849,30,,2609612
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:22.750,82750,31,,2692461
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:22.646,82646,32,,2775211
ALB,Hungaroring,Hungarian Grand Prix,1033,6,1:22.669,82669,33,,2857857
ALB,Hungaroring,Hungarian Grand Prix,1033,7,1:25.954,85954,34,2,2940526
ALB,Hungaroring,Hungarian Grand Prix,1033,10,1:41.225,101225,35,,3112434
ALB,Hungaroring,Hungarian Grand Prix,1033,9,1:23.315,83315,36,,3213659
ALB,Hungaroring,Hungarian Grand Prix,1033,8,1:20.324,80324,37,,3296974
